"Rank","Player","First_Name","Last_Name","Team","Home_Runs","HR_Tier"
1,"Aaron Judge","Aaron","Judge","New York Yankees",58,"Elite (45+)"
2,"Shohei Ohtani","Shohei","Ohtani","Los Angeles Dodgers",54,"Elite (45+)"
3,"Anthony Santander","Anthony","Santander","Baltimore Orioles",44,"Great (35-44)"
4,"Juan Soto","Juan","Soto","New York Yankees",41,"Great (35-44)"
5,"Marcell Ozuna","Marcell","Ozuna","Atlanta Braves",39,"Great (35-44)"
5,"José Ramírez","José","Ramírez","Cleveland Guardians",39,"Great (35-44)"
5,"Brent Rooker","Brent","Rooker","Oakland Athletics",39,"Great (35-44)"
8,"Kyle Schwarber","Kyle","Schwarber","Philadelphia Phillies",38,"Great (35-44)"
9,"Gunnar Henderson","Gunnar","Henderson","Baltimore Orioles",37,"Great (35-44)"
10,"Ketel Marte","Ketel","Marte","Arizona Diamondbacks",36,"Great (35-44)"
11,"Yordan Alvarez","Yordan","Alvarez","Houston Astros",35,"Great (35-44)"
12,"Pete Alonso","Pete","Alonso","New York Mets",34,"Above Avg (25-34)"
12,"Cal Raleigh","Cal","Raleigh","Seattle Mariners",34,"Above Avg (25-34)"
14,"Teoscar Hernández","Teoscar","Hernández","Los Angeles Dodgers",33,"Above Avg (25-34)"
14,"Francisco Lindor","Francisco","Lindor","New York Mets",33,"Above Avg (25-34)"
16,"Willy Adames","Willy","Adames","Milwaukee Brewers",32,"Above Avg (25-34)"
16,"Bobby Witt Jr.","Bobby","Jr.","Kansas City Royals",32,"Above Avg (25-34)"
18,"Josh Naylor","Josh","Naylor","Cleveland Guardians",31,"Above Avg (25-34)"
18,"Tyler O'Neill","Tyler","O'Neill","Boston Red Sox",31,"Above Avg (25-34)"
20,"Vladimir Guerrero Jr.","Vladimir","Jr.","Toronto Blue Jays",30,"Above Avg (25-34)"
20,"Bryce Harper","Bryce","Harper","Philadelphia Phillies",30,"Above Avg (25-34)"
20,"Corey Seager","Corey","Seager","Texas Rangers",30,"Above Avg (25-34)"
20,"Eugenio Suárez","Eugenio","Suárez","Arizona Diamondbacks",30,"Above Avg (25-34)"
24,"Jake Burger","Jake","Burger","Miami Marlins",29,"Above Avg (25-34)"
24,"Shea Langeliers","Shea","Langeliers","Oakland Athletics",29,"Above Avg (25-34)"
24,"Manny Machado","Manny","Machado","San Diego Padres",29,"Above Avg (25-34)"
24,"Matt Olson","Matt","Olson","Atlanta Braves",29,"Above Avg (25-34)"
28,"Rafael Devers","Rafael","Devers","Boston Red Sox",28,"Above Avg (25-34)"
29,"Matt Chapman","Matt","Chapman","San Francisco Giants",27,"Above Avg (25-34)"
29,"Salvador Perez","Salvador","Perez","Kansas City Royals",27,"Above Avg (25-34)"
29,"Giancarlo Stanton","Giancarlo","Stanton","New York Yankees",27,"Above Avg (25-34)"
29,"Mark Vientos","Mark","Vientos","New York Mets",27,"Above Avg (25-34)"
33,"Alex Bregman","Alex","Bregman","Houston Astros",26,"Above Avg (25-34)"
33,"Rhys Hoskins","Rhys","Hoskins","Milwaukee Brewers",26,"Above Avg (25-34)"
33,"Ezequiel Tovar","Ezequiel","Tovar","Colorado Rockies",26,"Above Avg (25-34)"
33,"Christian Walker","Christian","Walker","Arizona Diamondbacks",26,"Above Avg (25-34)"
37,"Elly De La Cruz","Elly","Cruz","Cincinnati Reds",25,"Above Avg (25-34)"
37,"Adolis García","Adolis","García","Texas Rangers",25,"Above Avg (25-34)"
37,"Ian Happ","Ian","Happ","Chicago Cubs",25,"Above Avg (25-34)"
37,"Michael Toglia","Michael","Toglia","Colorado Rockies",25,"Above Avg (25-34)"
37,"Taylor Ward","Taylor","Ward","Los Angeles Angels",25,"Above Avg (25-34)"
42,"Jazz Chisholm Jr.","Jazz","Jr.","New York Yankees",24,"Average (<25)"
42,"Colton Cowser","Colton","Cowser","Baltimore Orioles",24,"Average (<25)"
42,"Paul DeJong","Paul","DeJong","Kansas City Royals",24,"Average (<25)"
42,"Riley Greene","Riley","Greene","Detroit Tigers",24,"Average (<25)"
42,"Jackson Merrill","Jackson","Merrill","San Diego Padres",24,"Average (<25)"
42,"Jurickson Profar","Jurickson","Profar","San Diego Padres",24,"Average (<25)"
42,"Bryan Reynolds","Bryan","Reynolds","Pittsburgh Pirates",24,"Average (<25)"
49,"Nick Castellanos","Nick","Castellanos","Philadelphia Phillies",23,"Average (<25)"
49,"William Contreras","William","Contreras","Milwaukee Brewers",23,"Average (<25)"
49,"Brenton Doyle","Brenton","Doyle","Colorado Rockies",23,"Average (<25)"
49,"Zach Neto","Zach","Neto","Los Angeles Angels",23,"Average (<25)"
49,"Brandon Nimmo","Brandon","Nimmo","New York Mets",23,"Average (<25)"
49,"Joc Pederson","Joc","Pederson","Arizona Diamondbacks",23,"Average (<25)"
49,"Carlos Santana","Carlos","Santana","Minnesota Twins",23,"Average (<25)"
49,"Marcus Semien","Marcus","Semien","Texas Rangers",23,"Average (<25)"
49,"Kyle Tucker","Kyle","Tucker","Houston Astros",23,"Average (<25)"
