"Rank","Player","Team","Home_Runs"
1,"Aaron Judge","New York Yankees","58"
2,"Shohei Ohtani","Los Angeles Dodgers","54"
3,"Anthony Santander","Baltimore Orioles","44"
4,"Juan Soto","New York Yankees","41"
5,"Marcell Ozuna","Atlanta Braves","39"
5,"José Ramírez","Cleveland Guardians","39"
5,"Brent Rooker","Oakland Athletics","39"
8,"Kyle Schwarber","Philadelphia Phillies","38"
9,"Gunnar Henderson","Baltimore Orioles","37"
10,"Ketel Marte","Arizona Diamondbacks","36"
11,"Yordan Alvarez","Houston Astros","35"
12,"Pete Alonso","New York Mets","34"
12,"Cal Raleigh","Seattle Mariners","34"
14,"Teoscar Hernández","Los Angeles Dodgers","33"
14,"Francisco Lindor","New York Mets","33"
16,"Willy Adames","Milwaukee Brewers","32"
16,"Bobby Witt Jr.","Kansas City Royals","32"
18,"Josh Naylor","Cleveland Guardians","31"
18,"Tyler O'Neill","Boston Red Sox","31"
20,"Vladimir Guerrero Jr.","Toronto Blue Jays","30"
20,"Bryce Harper","Philadelphia Phillies","30"
20,"Corey Seager","Texas Rangers","30"
20,"Eugenio Suárez","Arizona Diamondbacks","30"
